p	max 	2000	1000
n	1	s	
n	2	t	
a	1014	1955	1117
a	1756	31	684
a	6	594	5371
a	1235	562	5334
a	301	1603	320
a	257	922	147
a	1590	1577	5715
a	347	1015	1637
a	1645	1772	3474
a	1261	289	3226
a	1202	108	3212
a	157	1523	611
a	1693	437	9250
a	985	1913	4920
a	1276	1238	8280
a	1028	1475	9070
a	493	147	5395
a	218	749	9385
a	417	907	1468
a	533	1906	8454
a	1497	1591	2065
a	754	1923	2291
a	1863	1658	2681
a	49	139	908
a	1924	91	2065
a	558	557	7944
a	1231	102	9178
a	29	1080	2139
a	16	590	1414
a	24	1973	7374
a	1997	321	6545
a	1993	1613	5188
a	768	1760	282
a	401	454	3924
a	361	129	4445
a	173	1560	6621
a	555	1270	4007
a	1046	1413	5002
a	1219	1982	1737
a	1778	1306	3391
a	277	1342	7118
a	1479	1604	4354
a	1882	619	8610
a	1585	31	9014
a	592	615	495
a	1845	1950	1555
a	1767	395	9318
a	1356	343	9951
a	1302	767	9882
a	1618	1271	5574
a	1830	1060	4310
a	1192	856	3034
a	1954	668	692
a	1805	1635	1738
a	387	1495	3198
a	1842	1243	4607
a	1489	446	785
a	807	1074	5251
a	1873	1055	3340
a	1818	1535	307
a	1322	1627	5147
a	533	971	4324
a	1773	1022	4773
a	757	711	7622
a	1191	1661	6816
a	282	300	1233
a	783	1164	3931
a	1719	62	280
a	841	27	7741
a	1960	1549	6155
a	621	408	664
a	737	663	1753
a	1232	1826	8842
a	222	1960	7740
a	314	2	7779
a	327	1747	6681
a	269	764	9262
a	1133	540	2930
a	486	834	522
a	891	1128	9013
a	1708	631	9438
a	1499	630	1193
a	112	849	2761
a	635	567	4842
a	907	241	2840
a	402	35	9177
a	374	888	7779
a	763	1909	568
a	810	1159	6526
a	1186	203	7474
a	1015	244	8292
a	318	1258	3446
a	1103	327	8663
a	1476	1208	3116
a	337	77	5298
a	133	1436	8985
a	1154	932	8579
a	630	469	1236
a	266	1193	4449
a	1362	96	9829
a	723	903	2474
a	523	1375	300
a	1971	1681	8475
a	1731	1172	8621
a	545	1531	1997
a	1948	1564	1210
a	757	1832	8807
a	1348	397	2303
a	1968	1633	7362
a	1052	1652	3835
a	966	1207	7451
a	182	552	7777
a	1312	1316	6021
a	1713	122	4426
a	628	1391	8878
a	202	150	5643
a	902	528	9289
a	1224	890	6055
a	1804	1493	937
a	701	1969	8080
a	812	706	6483
a	870	1992	9680
a	337	1056	7104
a	1190	842	6573
a	1702	330	6279
a	1486	1560	7273
a	870	1278	2327
a	585	287	8030
a	295	1628	2555
a	20	1711	108
a	260	894	3856
a	1600	162	4880
a	912	716	7271
a	1667	443	7428
a	324	1353	3229
a	687	952	3041
a	1823	687	9804
a	1876	1419	5977
a	781	1969	9159
a	694	1033	5787
a	14	1281	6798
a	597	489	8686
a	667	1502	3796
a	1826	687	6123
a	1021	1561	1318
a	1284	1365	4352
a	578	1646	8432
a	1692	748	1753
a	993	75	7777
a	691	907	726
a	1036	367	4440
a	1371	180	6656
a	254	1198	7952
a	1246	515	7314
a	682	2000	4029
a	886	1137	1058
a	1741	1487	7756
a	383	69	9256
a	1997	933	6335
a	750	1773	4678
a	1224	1171	1077
a	1312	997	1839
a	447	1492	2150
a	777	741	7223
a	940	87	8114
a	1489	219	1527
a	1730	1223	4009
a	1514	296	9172
a	974	5	86
a	1908	632	1523
a	823	1980	6988
a	313	819	9070
a	660	1313	3631
a	270	1510	167
a	376	1796	8686
a	1371	912	686
a	1686	78	7535
a	365	1778	1289
a	271	1639	3706
a	1093	512	2501
a	1386	1562	3938
a	1377	234	4523
a	1603	1040	6816
a	298	701	2717
a	1114	600	9966
a	1902	1413	6487
a	602	417	748
a	443	1709	4856
a	172	472	3589
a	308	1319	7694
a	841	1841	7360
a	528	1849	3922
a	1336	118	723
a	1778	31	1350
a	1822	1895	179
a	879	241	6903
a	1545	570	8657
a	272	1894	6363
a	1861	1795	3455
a	1072	812	1305
a	1384	770	2091
a	1339	277	704
a	1533	1471	6854
a	916	1085	4403
a	1649	1781	6264
a	429	1606	9905
a	845	1512	2079
a	1891	71	6927
a	363	1081	2033
a	782	546	8740
a	1025	734	6375
a	946	1793	3749
a	171	1453	1214
a	1305	1212	3351
a	535	190	7733
a	1779	1715	4463
a	3	1718	4505
a	40	546	5315
a	561	234	8006
a	1215	208	963
a	1099	1213	2003
a	1203	1221	2032
a	1700	1136	7094
a	1165	796	7204
a	1103	358	5395
a	531	108	4113
a	1305	1888	3557
a	908	1803	9269
a	1588	563	5337
a	1198	98	559
a	888	926	2235
a	62	1537	4022
a	1457	773	7114
a	406	1783	1011
a	34	169	1743
a	1249	1008	3463
a	466	206	1339
a	1792	1293	1798
a	1329	382	8006
a	459	1724	2316
a	1416	62	6182
a	92	1454	9044
a	1853	1912	7495
a	1049	847	9552
a	1231	1651	3120
a	1208	1494	2211
a	744	1636	1586
a	303	1334	9875
a	1056	116	9523
a	252	649	7287
a	436	320	8521
a	822	947	1802
a	1944	814	2292
a	688	27	4646
a	1852	1167	3462
a	174	277	6432
a	473	1301	6969
a	1179	982	9394
a	1096	697	9376
a	1206	1588	9654
a	690	406	2562
a	165	810	5962
a	622	478	8705
a	1674	1671	8381
a	1593	1823	3394
a	1905	1632	8164
a	1450	262	4056
a	861	95	8352
a	1064	971	1186
a	1929	1052	8370
a	907	1373	4887
a	360	1330	2914
a	780	235	3893
a	1443	507	7167
a	339	988	3577
a	1903	664	2513
a	1324	865	2946
a	1859	1827	5667
a	1868	1261	2880
a	1534	1993	1947
a	752	67	7318
a	128	1331	7486
a	181	1373	170
a	1238	81	8693
a	935	1348	4096
a	388	1338	6728
a	1626	1832	1836
a	66	1475	927
a	1681	1558	6622
a	1872	303	1326
a	989	1395	9021
a	1479	417	4062
a	325	1810	4533
a	204	882	2073
a	947	1538	4888
a	1887	1208	8899
a	46	1472	15
a	670	1733	8131
a	474	1259	6852
a	894	755	2771
a	894	1156	5463
a	1505	797	7359
a	1064	1169	1357
a	1208	223	1977
a	1769	1018	5356
a	814	1419	4757
a	1820	607	4129
a	1604	957	7078
a	636	261	8393
a	1516	507	7076
a	247	657	9320
a	408	1553	3292
a	1029	1867	9154
a	877	868	6339
a	1538	1342	3836
a	1159	1804	6497
a	64	658	245
a	1367	1437	6626
a	594	1882	7162
a	327	1753	6979
a	1722	415	7886
a	1317	27	3805
a	552	155	489
a	1353	1523	5986
a	107	1753	5949
a	1895	1570	4304
a	402	608	8847
a	365	620	4914
a	440	1597	5859
a	491	587	5712
a	1226	932	9791
a	745	1667	2454
a	337	1090	9279
a	1877	1342	8983
a	365	178	6488
a	344	994	9785
a	1472	1962	6031
a	1456	405	1351
a	638	563	4242
a	1537	522	4951
a	1454	296	8585
a	1120	1281	1962
a	1324	148	6747
a	757	821	3
a	1255	1339	2102
a	1153	397	273
a	639	1552	8693
a	313	1178	5709
a	78	1871	5785
a	1940	1510	7444
a	1549	394	6802
a	1088	668	1685
a	1649	623	2540
a	1226	842	3718
a	1731	864	2781
a	687	1283	9727
a	1529	1651	9509
a	839	280	1020
a	1510	1258	7236
a	437	516	1222
a	314	75	3967
a	966	241	3878
a	1958	1818	9117
a	432	50	7785
a	462	957	8333
a	1088	124	4841
a	372	26	6247
a	1821	1873	9070
a	82	269	6562
a	157	690	6788
a	1429	1557	7988
a	707	566	4572
a	1999	1283	5005
a	1944	70	7141
a	48	835	8510
a	478	1911	1730
a	1056	238	7587
a	1160	310	3242
a	277	1732	4727
a	48	411	4252
a	1393	931	1908
a	28	1427	2594
a	56	436	7014
a	980	1467	9656
a	1322	1192	1464
a	616	1774	960
a	303	1143	1444
a	874	209	3269
a	261	208	2299
a	1673	15	1474
a	1624	1254	7253
a	134	1930	7320
a	1913	691	4364
a	1752	1552	6472
a	668	1545	2763
a	116	992	1878
a	996	1530	9332
a	44	1055	8044
a	638	805	8877
a	111	36	6035
a	1412	1314	9633
a	370	222	202
a	300	1110	6085
a	1833	620	9862
a	995	1624	7602
a	598	372	5379
a	590	273	6284
a	224	1787	8642
a	343	1488	4081
a	1559	1887	3785
a	726	566	7677
a	104	1653	3045
a	565	989	3949
a	1565	267	8069
a	1445	1049	1820
a	1588	1545	464
a	141	498	2658
a	1882	807	6667
a	766	1624	172
a	1051	790	8676
a	692	464	3916
a	858	1589	7647
a	128	1376	1096
a	517	1930	9098
a	304	1322	5871
a	714	561	1599
a	838	1382	3973
a	493	507	713
a	1331	1487	5491
a	1303	1749	3620
a	1068	1905	3499
a	899	243	1694
a	89	740	5517
a	679	1521	5478
a	747	588	7820
a	858	467	47
a	1305	579	5950
a	1650	769	8260
a	824	1066	7149
a	1020	1617	3546
a	504	1766	3041
a	1530	1309	6315
a	950	2000	7494
a	229	557	4935
a	1920	197	4728
a	1379	1629	4282
a	80	1657	8557
a	1793	907	1404
a	867	1691	1752
a	1577	1019	7961
a	1999	215	6793
a	1938	824	4880
a	1924	1103	4755
