p	max	500	5000
n	1	s	
n	2	t	
a	347	280	1252
a	488	466	1086
a	440	21	1087
a	260	256	854
a	161	333	2160
a	436	193	1595
a	459	160	833
a	313	378	2990
a	260	38	738
a	374	140	2495
a	89	12	936
a	17	287	1514
a	89	445	465
a	71	245	2019
a	146	204	220
a	38	454	4811
a	28	351	3596
a	306	25	333
a	288	500	616
a	130	491	279
a	98	407	1249
a	453	87	389
a	349	6	3891
a	442	267	3697
a	372	127	2023
a	233	279	1980
a	276	261	774
a	304	70	2587
a	12	271	2866
a	305	275	1333
a	395	401	3886
a	48	123	2537
a	285	354	901
a	324	408	3596
a	489	479	789
a	309	364	2585
a	243	232	2092
a	437	200	1995
a	181	211	2719
a	96	437	4952
a	423	58	2466
a	76	158	2275
a	488	462	1184
a	252	447	393
a	76	237	2324
a	137	119	4799
a	199	241	1359
a	185	355	454
a	494	471	3184
a	265	283	40
a	307	176	4410
a	479	406	2556
a	455	425	3688
a	188	356	3950
a	298	484	180
a	448	409	4643
a	175	94	425
a	303	21	2048
a	344	90	1953
a	17	404	362
a	117	299	221
a	198	228	979
a	64	216	3120
a	50	423	1802
a	178	112	2190
a	126	394	1414
a	363	52	4384
a	255	98	3407
a	383	57	4617
a	409	316	4531
a	163	365	1929
a	255	243	1385
a	409	173	72
a	46	58	4461
a	202	348	3264
a	499	306	2311
a	245	346	2754
a	286	500	3333
a	13	356	4873
a	396	364	4683
a	129	431	1863
a	349	268	703
a	489	153	2568
a	162	273	1221
a	210	229	4507
a	305	319	3025
a	254	234	3724
a	1	6	4553
a	21	444	3739
a	43	173	1053
a	120	488	1345
a	214	310	1581
a	366	109	4707
a	450	216	3680
a	416	360	3573
a	218	44	3495
a	18	500	2540
a	20	346	3632
a	389	107	926
a	111	392	611
a	204	94	2879
a	132	259	325
a	99	368	2478
a	99	449	906
a	179	345	4136
a	288	112	1023
a	109	232	1187
a	377	336	611
a	344	391	2324
a	160	297	4039
a	283	469	1022
a	433	448	3057
a	454	94	4189
a	457	458	1215
a	387	403	3470
a	302	226	2138
a	235	77	4204
a	362	344	1180
a	175	438	1808
a	7	281	3415
a	373	489	1223
a	291	58	3464
a	315	416	4659
a	83	188	337
a	267	5	51
a	315	273	4377
a	11	56	4708
a	234	195	3461
a	48	3	3811
a	366	158	102
a	241	391	4796
a	313	18	842
a	77	25	2763
a	43	137	229
a	158	234	1553
a	63	43	4371
a	109	281	1657
a	56	74	2935
a	87	407	872
a	416	82	1147
a	184	238	1429
a	354	290	216
a	341	24	1156
a	345	93	1372
a	308	343	82
a	155	428	612
a	213	222	4956
a	412	309	3573
a	329	497	4935
a	368	89	2443
a	296	262	3910
a	387	209	4948
a	99	219	3720
a	27	150	3815
a	468	12	4081
a	179	83	2023
a	95	303	1830
a	179	192	1983
a	93	282	1332
a	444	228	3902
a	340	437	421
a	60	52	3901
a	154	49	2094
a	144	7	2631
a	121	179	3208
a	196	315	2263
a	88	420	739
a	391	226	439
a	306	438	4413
a	382	405	2950
a	349	372	141
a	229	270	348
a	343	282	4859
a	219	153	1656
a	148	139	546
a	360	337	3671
a	33	349	198
a	489	371	4558
a	471	39	425
a	360	480	2953
a	125	160	1944
a	243	301	1156
a	333	403	3654
a	33	447	2240
a	90	184	3049
a	57	49	387
a	369	455	2858
a	423	230	1282
a	204	23	4118
a	133	29	2270
a	6	293	2202
a	190	70	2751
a	483	216	3011
a	251	197	1796
a	422	132	784
a	264	34	1111
a	436	480	3354
a	165	127	2254
a	317	148	2977
a	445	479	667
a	434	80	1358
a	112	122	3209
a	444	25	2896
a	330	144	4454
a	175	264	31
a	144	212	4006
a	255	222	1645
a	226	419	3257
a	151	352	4846
a	97	438	2399
a	150	184	862
a	139	169	4910
a	163	63	2096
a	386	450	4022
a	391	87	2479
a	177	463	2670
a	361	122	2303
a	315	345	2348
a	262	192	2197
a	399	286	4594
a	9	496	4497
a	392	456	417
a	390	183	450
a	147	350	4374
a	238	413	4090
a	20	208	590
a	450	245	1308
a	437	489	4211
a	33	52	4036
a	75	337	2072
a	76	238	745
a	284	483	4916
a	86	51	854
a	60	457	93
a	401	91	3424
a	95	65	2604
a	374	24	1412
a	303	20	4309
a	335	359	3570
a	13	223	628
a	311	414	3761
a	377	247	1232
a	272	5	3843
a	187	370	3438
a	376	441	2678
a	174	108	3150
a	68	407	1533
a	292	223	4373
a	462	171	113
a	373	276	2317
a	419	212	1329
a	130	129	809
a	102	77	2074
a	103	284	1091
a	295	462	3567
a	495	150	4298
a	92	194	1286
a	44	93	4815
a	337	237	1115
a	67	405	2759
a	404	267	107
a	450	217	2645
a	110	119	694
a	167	212	925
a	423	174	2311
a	15	32	1129
a	190	30	306
a	393	248	2713
a	29	132	4275
a	354	142	1280
a	449	162	2953
a	19	368	2519
a	108	48	4100
a	240	120	1046
a	335	379	3640
a	59	397	3688
a	131	8	4720
a	424	30	1370
a	411	264	4629
a	454	494	2141
a	207	162	920
a	50	219	4417
a	235	221	1280
a	439	463	176
a	126	129	836
a	174	251	1217
a	490	180	4052
a	453	320	2965
a	384	329	3924
a	70	459	1535
a	315	272	4333
a	465	387	2447
a	200	112	1828
a	171	305	2803
a	244	281	1377
a	157	382	3426
a	195	183	1434
a	196	132	480
a	172	157	1544
a	379	419	380
a	343	196	566
a	256	192	1803
a	241	390	46
a	263	391	4230
a	399	199	3664
a	313	130	2884
a	167	107	1204
a	33	3	3764
a	483	191	2365
a	379	126	4738
a	483	12	4654
a	321	185	4951
a	375	490	32
a	237	5	1233
a	496	129	4688
a	422	153	473
a	28	32	2212
a	180	155	4957
a	94	289	2055
a	169	142	4956
a	28	87	1969
a	51	238	173
a	169	31	4352
a	278	427	2659
a	424	476	3454
a	84	366	1320
a	202	209	4516
a	113	490	4171
a	344	130	4948
a	328	406	2233
a	202	435	2828
a	439	418	2526
a	178	392	3743
a	70	250	1327
a	233	424	3936
a	420	300	1993
a	267	467	1404
a	68	382	1291
a	73	384	3307
a	7	397	206
a	34	301	3293
a	1	220	3447
a	367	403	2287
a	206	23	2531
a	346	410	2450
a	485	117	2277
a	158	37	3424
a	426	357	596
a	381	277	1454
a	78	367	4893
a	498	83	1079
a	484	2	1322
a	90	185	2116
a	398	374	4756
a	290	327	3875
a	425	436	937
a	243	477	4084
a	299	415	875
a	284	361	601
a	241	140	3736
a	242	223	4629
a	109	397	713
a	111	451	593
a	20	386	3207
a	180	200	1649
a	113	219	4289
a	127	462	4398
a	19	315	4004
a	23	259	2380
a	425	112	4897
a	118	135	4945
a	458	200	3046
a	222	97	2124
a	99	246	2132
a	38	343	2899
a	188	416	3352
a	131	64	3987
a	444	137	3957
a	374	334	646
a	383	404	1408
a	315	156	3264
a	140	97	4952
a	468	374	2687
a	410	299	3899
a	103	106	4009
a	362	32	4779
a	120	18	4273
a	489	163	4978
a	235	451	522
a	315	344	3769
a	462	409	4850
a	219	228	4959
a	257	455	4539
a	493	398	138
a	256	25	1040
a	24	101	214
a	345	431	2456
a	367	250	336
a	404	368	4973
a	360	251	4196
a	56	148	2560
a	389	134	4757
a	76	126	4805
a	20	422	803
a	228	257	3941
a	191	415	947
a	104	271	953
a	274	89	2867
a	75	446	4398
a	95	51	1145
a	4	114	812
a	374	238	2954
a	356	429	4740
a	179	492	3269
a	269	338	3778
a	203	466	2771
a	175	88	1933
a	142	147	1316
a	95	209	2521
a	306	59	3183
a	330	181	2534
a	420	55	3021
a	352	325	2060
a	168	40	4862
a	226	354	1222
a	411	476	2271
a	316	343	397
a	254	447	3080
a	277	221	4879
a	499	82	3641
a	11	30	37
a	346	419	4778
a	475	205	4178
a	58	95	898
a	115	98	344
a	11	111	4437
a	34	196	3896
a	475	122	3920
a	319	10	2470
a	124	434	3508
a	181	53	2674
a	39	187	3335
a	29	97	700
a	67	178	3405
a	9	205	4418
a	483	130	3398
a	156	356	3779
a	345	165	39
a	185	268	3597
a	303	356	2006
a	240	268	3567
a	332	500	55
a	5	426	4845
a	483	96	3594
a	228	293	391
a	237	433	1663
a	497	268	3999
a	302	407	4478
a	303	186	2901
a	491	298	938
a	213	169	1445
a	27	61	3961
a	250	273	2699
a	273	447	1055
a	476	194	3777
a	211	23	4399
a	362	120	1015
a	120	74	2737
a	499	46	481
a	281	359	2185
a	484	442	3735
a	205	448	3653
a	370	257	4148
a	115	495	3045
a	162	247	1315
a	181	9	2628
a	223	386	110
a	63	85	4796
a	214	195	3719
a	318	125	3851
a	156	328	3006
a	375	116	3611
a	66	458	2696
a	323	457	72
a	18	361	3523
a	403	481	371
a	294	250	1984
a	137	141	3887
a	431	311	22
a	161	279	2164
a	199	187	2090
a	425	138	655
a	217	104	2908
a	436	270	2518
a	155	430	836
a	108	390	3578
a	193	128	2759
a	249	296	2562
a	377	483	976
a	433	401	155
a	61	250	967
a	316	57	3871
a	302	252	713
a	477	106	1376
a	250	420	794
a	316	287	4315
a	245	367	4964
a	438	238	2759
a	476	85	3616
a	372	102	1133
