p	max	500	5000
n	1	s	
n	2	t	
a	488	67	707
a	413	397	335
a	354	487	762
a	15	30	98
a	56	101	755
a	332	434	82
a	298	238	314
a	155	363	300
a	237	491	235
a	99	103	117
a	303	113	881
a	341	430	250
a	344	126	674
a	327	143	921
a	302	170	808
a	421	312	103
a	60	104	730
a	84	102	777
a	50	18	687
a	433	154	922
a	13	414	350
a	145	302	334
a	112	295	484
a	477	113	724
a	328	287	400
a	255	172	947
a	196	286	571
a	490	127	148
a	148	473	479
a	254	127	235
a	419	134	506
a	230	196	546
a	276	500	104
a	172	69	928
a	266	142	908
a	417	298	190
a	399	494	785
a	183	327	795
a	183	500	116
a	261	282	60
a	91	93	522
a	440	467	548
a	228	82	591
a	483	279	315
a	63	96	660
a	460	140	385
a	464	343	330
a	308	488	183
a	19	119	24
a	275	225	591
a	170	9	434
a	298	194	936
a	265	283	448
a	307	176	11
a	240	381	347
a	170	408	712
a	84	454	55
a	398	136	367
a	65	23	727
a	86	399	260
a	368	255	41
a	248	421	65
a	377	7	857
a	325	239	892
a	387	452	950
a	297	326	598
a	117	77	939
a	448	214	995
a	306	140	58
a	35	342	531
a	373	356	173
a	126	356	541
a	490	448	914
a	1	459	392
a	44	318	182
a	68	180	844
a	451	213	281
a	390	112	317
a	239	3	975
a	440	256	935
a	115	446	794
a	11	331	343
a	289	109	398
a	241	372	926
a	149	457	964
a	265	196	32
a	398	296	267
a	427	296	468
a	318	210	454
a	247	88	159
a	194	68	381
a	32	407	443
a	213	472	950
a	108	273	158
a	193	53	538
a	29	423	638
a	288	239	638
a	326	363	401
a	322	450	268
a	112	129	564
a	60	161	882
a	83	256	149
a	69	317	63
a	127	75	711
a	70	153	521
a	164	86	554
a	405	445	252
a	35	80	486
a	196	485	537
a	277	100	172
a	176	121	228
a	243	51	349
a	68	78	881
a	286	29	91
a	196	155	94
a	314	330	333
a	90	164	824
a	91	133	374
a	76	343	444
a	78	445	190
a	11	452	226
a	360	162	412
a	401	369	519
a	165	488	540
a	237	117	655
a	118	408	211
a	446	387	507
a	284	42	62
a	269	442	47
a	368	379	151
a	293	389	693
a	113	137	717
a	60	496	318
a	167	428	400
a	344	99	596
a	401	44	266
a	169	24	375
a	269	237	944
a	217	260	149
a	113	491	691
a	60	214	201
a	227	383	509
a	62	444	426
a	307	311	799
a	70	106	734
a	326	128	364
a	383	497	892
a	302	105	67
a	467	42	380
a	175	485	195
a	476	164	419
a	500	34	944
a	339	228	442
a	358	128	307
a	224	164	185
a	73	385	324
a	475	277	52
a	225	334	207
a	234	148	360
a	343	282	469
a	382	484	298
a	244	461	841
a	462	303	930
a	484	291	702
a	11	181	934
a	158	183	796
a	176	466	842
a	270	444	571
a	280	336	589
a	194	234	926
a	219	325	793
a	369	80	179
a	389	163	340
a	165	396	938
a	94	482	743
a	189	278	987
a	425	224	247
a	5	484	769
a	237	379	644
a	38	116	959
a	350	53	717
a	28	297	650
a	340	235	895
a	278	289	117
a	258	213	235
a	166	490	828
a	301	273	827
a	231	208	760
a	164	31	937
a	151	352	440
a	141	394	325
a	159	58	124
a	144	257	895
a	276	262	548
a	3	454	185
a	300	124	831
a	339	478	998
a	73	270	956
a	25	179	858
a	232	489	617
a	309	363	773
a	257	448	42
a	239	238	412
a	357	95	902
a	489	367	785
a	261	170	546
a	389	485	871
a	263	460	572
a	67	215	152
a	399	60	515
a	134	315	351
a	137	485	993
a	265	56	275
a	213	338	16
a	327	302	641
a	412	40	271
a	158	476	806
a	223	254	439
a	63	321	336
a	380	459	59
a	143	473	786
a	94	361	153
a	331	230	842
a	278	483	599
a	62	282	302
a	445	114	391
a	302	485	277
a	409	481	325
a	108	242	866
a	235	241	609
a	74	177	376
a	480	248	500
a	206	402	339
a	433	103	587
a	382	66	456
a	35	4	413
a	97	323	283
a	183	309	974
a	371	13	732
a	419	387	330
a	77	227	478
a	295	300	769
a	498	440	791
a	172	185	15
a	82	315	108
a	343	32	949
a	10	63	178
a	210	407	710
a	180	323	542
a	464	22	474
a	284	289	325
a	379	229	522
a	63	391	915
a	464	308	828
a	434	468	937
a	223	210	956
a	392	32	792
a	89	218	791
a	194	359	101
a	322	336	622
a	363	356	781
a	331	130	557
a	377	448	630
a	123	292	134
a	491	440	860
a	117	270	304
a	65	355	750
a	467	307	361
a	433	455	696
a	212	101	91
a	231	139	719
a	335	409	264
a	396	51	571
a	36	26	232
a	3	211	561
a	386	249	969
a	117	209	832
a	362	232	900
a	96	67	491
a	206	136	743
a	408	383	602
a	135	244	372
a	235	392	470
a	310	122	222
a	21	253	208
a	205	368	736
a	49	204	765
a	24	446	741
a	153	350	614
a	281	273	219
a	462	323	814
a	324	352	615
a	276	131	41
a	370	226	434
a	389	428	456
a	228	132	635
a	214	339	176
a	422	300	415
a	194	135	330
a	398	261	841
a	194	54	48
a	345	130	496
a	76	54	214
a	303	377	979
a	496	129	646
a	265	338	281
a	75	71	819
a	421	95	550
a	273	88	206
a	368	90	995
a	354	5	908
a	184	444	93
a	64	146	68
a	409	473	797
a	3	17	676
a	131	100	648
a	60	70	69
a	258	206	44
a	448	224	383
a	144	233	342
a	98	352	690
a	335	125	904
a	64	303	676
a	432	259	678
a	396	422	481
a	16	66	295
a	330	430	314
a	386	332	160
a	139	140	808
a	486	37	802
a	126	12	288
a	174	390	70
a	254	208	657
a	138	479	430
a	281	493	911
a	285	269	981
a	239	58	463
a	176	467	680
a	228	15	426
a	308	103	856
a	312	98	372
a	100	193	310
a	56	103	45
a	165	395	505
a	494	313	226
a	63	300	699
a	119	84	457
a	137	170	44
a	341	74	932
a	416	127	397
a	402	190	430
a	435	58	280
a	327	137	891
a	331	330	397
a	217	359	364
a	113	406	942
a	188	416	446
a	306	23	686
a	454	423	558
a	192	82	855
a	93	238	45
a	442	422	880
a	315	156	317
a	106	154	765
a	13	382	401
a	125	287	425
a	1	143	216
a	348	226	317
a	183	163	991
a	305	273	352
a	210	142	685
a	68	112	563
a	305	354	127
a	441	162	535
a	124	319	749
a	489	366	45
a	125	210	270
a	209	95	767
a	63	140	321
a	484	87	359
a	295	105	434
a	205	235	708
a	57	76	210
a	369	482	897
a	42	280	228
a	260	343	457
a	392	295	832
a	57	189	873
a	260	486	593
a	460	142	791
a	449	443	184
a	393	195	716
a	473	45	217
a	375	466	777
a	42	205	632
a	355	158	479
a	435	22	314
a	23	295	342
a	62	490	338
a	411	190	206
a	140	336	55
a	28	445	474
a	491	253	611
a	40	83	702
a	226	354	568
a	359	2	386
a	396	8	139
a	145	264	752
a	477	83	239
a	278	44	53
a	154	118	174
a	248	133	51
a	175	412	642
a	268	210	246
a	69	121	682
a	7	324	634
a	248	99	178
a	361	452	113
a	452	21	850
a	239	303	465
a	115	245	53
a	73	297	614
a	300	496	618
a	196	161	278
a	474	271	283
a	172	186	522
a	488	255	202
a	253	274	445
a	471	351	308
a	39	187	342
a	332	135	450
a	114	248	756
a	242	5	333
a	485	367	521
a	425	396	698
a	161	410	305
a	252	332	333
a	114	301	900
a	271	363	21
a	497	268	221
a	84	484	334
a	47	208	563
a	284	230	253
a	23	331	555
a	74	353	107
a	292	312	199
a	94	100	683
a	402	424	581
a	430	426	862
a	434	25	948
a	478	342	420
a	117	446	408
a	178	18	931
a	457	89	699
a	258	154	239
a	433	160	187
a	141	239	718
a	164	80	410
a	406	253	200
a	69	93	357
a	268	246	507
a	88	458	774
a	174	248	1
a	45	117	92
a	115	209	465
a	405	157	118
a	324	67	415
a	253	99	105
a	1	96	839
a	441	361	435
a	266	68	797
a	232	290	125
a	34	232	283
a	210	489	972
a	200	303	210
a	20	26	515
a	266	422	238
a	357	487	942
a	285	74	348
a	43	24	869
a	134	369	185
a	119	301	882
a	393	57	829
a	379	128	521
a	271	56	189
a	440	124	95
a	460	71	748
a	161	422	157
a	327	497	413
a	407	441	8
a	119	115	73
a	80	321	382
a	193	102	592
a	455	482	615
a	482	92	250
a	467	496	888
a	412	311	78
a	41	459	723
a	320	158	975
a	433	401	396
a	88	106	241
a	307	392	425
a	145	37	658
a	37	31	920
a	430	454	568
a	434	61	351
a	307	313	724
a	69	287	354
a	415	295	770
a	387	286	301
a	444	341	594
a	144	121	712
a	1	384	765
a	349	80	629
a	432	260	352
a	291	75	829
a	281	33	130
a	139	143	29
a	49	13	126
a	230	76	651
a	305	155	306
a	206	229	963
a	116	99	410
a	465	349	112
a	181	425	264
a	115	173	535
a	404	136	790
a	25	213	386
a	447	298	150
a	323	105	638
a	205	117	166
a	281	413	961
a	324	325	37
a	30	499	523
a	494	220	612
a	132	423	4
a	11	482	974
a	161	465	596
a	53	163	52
a	494	335	814
a	133	27	365
a	412	198	316
a	401	339	617
a	369	39	949
a	317	351	279
a	227	193	63
a	355	20	864
a	180	201	838
a	345	14	956
a	422	186	367
a	446	268	358
a	8	41	150
a	407	163	575
a	113	260	727
a	320	250	40
a	69	465	547
a	454	21	961
a	368	214	587
a	463	233	710
a	377	104	843
